title,id,grant_ref,status,grant_category,funder,grant_offer,lead_org,start_date,end_date,staff_members,roles,abstract,tags
21ROMITIGATIONFUND Queens University Belfast,F4372E78-28C8-4095-AFF5-B935D3ABB051,BB/W510683/1,Closed,Research Grant,BBSRC,272000,Queen's University Belfast,2021-09-29,2022-03-28,Emma Flynn,Emma Flynn (PI),"Abstracts are not currently available in GtR for all funded research. This is normally because the abstract was not required at the time of proposal submission, but may be because it included sensitive information such as personal details.",
21st Century Meat Inspector,1E8873C9-CBDB-4A0C-96EA-9C539A934622,ST/V001493/1,Closed,Research Grant,STFC,39216,University of Nottingham,2020-06-30,2021-03-30,Nicholas Watson,Nicholas Watson (PI),"Poultry is the most popular meat in the UK, and its effective inspection within processing facilities is essential to ensure regulatory compliance. Poultry inspection is performed manually and is extremely challenging due to the short time available to inspect each bird and the sustained level of concentration required. This feasibility project will investigate how existing and new inspection technologies can be combined with advanced data analytics and incorporated into current meat inspection practices to deliver the 21st Century Meat Inspector. The feasibility project will focus specifically on post-mortem inspection and dead on arrival detection, within poultry. The project will adopt a benefits realisation approach to determine the requirements for any new technologies and ensure that business benefits are delivered to all stakeholders within the poultry chain. This interdisciplinary project includes expertise in a variety of complimentary inspection technologies (Optical (vis, NIR, IR, Hyperspectral), X-ray and Ultrasonic) and IT-enabled benefits realisation management with the Hartree Centre (STFC), Two Sisters Food Group and CSB as project partners.",Governance & Policy; Data & Digital
"A Family of Nations? Brexit, Devolution and the Union",2ECB1656-92BD-4CA9-91CC-71BB814AC4ED,ES/T000856/1,Closed,Fellowship,ESRC,457247,University of Edinburgh,2019-05-31,2022-12-31,Nicola McEwen,Nicola McEwen (Fellow),"The project examines the impact of Brexit on relationships between the four nations/territories of the UK. Devolution was designed and developed within the context of the EU, and EU membership has been important in easing territorial relationships within the UK. The Brexit process is straining these relationships, and could mark a turning point in the system of multi-level government in the UK.

Politicians often use the family as a metaphor when discussing territorial relationships. This project will draw upon ideas developed by sociologists to study relationships within families as a way of understanding and explaining dynamics in the relationships between governments and territories across the UK. The project aims to identify new tensions, opportunities and constraints. It examines the evolution of formal engagement and decision making between the UK and the devolved governments, but it tests the idea that these are conditioned by more informal interactions and the culture surrounding these. This includes the perceptions key players have about their role and the role of others, and the attitudes and behaviour they display. Relationships are studied in three sets of discussions provoked by Brexit: the UK's approach to EU negotiations; the negotiation and implementation of new trade deals; and the future of the UK 'internal market', which aims to avoid distortions in trade and competition once the UK is no longer subject to EU laws.

The UK's exit from the EU coincides with the 20th anniversary of devolution. Brexit is posing big challenges for devolution, but it also offers an opportunity to reform the ways in which the governments and territories of the UK interact and work together. However, the project contends that opportunities for reform will be limited by five sets of constraints: (i) how the UK as a country, and the roles and responsibilities of its different governments, are understood among key players; (ii) the asymmetry, or unevenness, of devolution and decentralised government, including the lack of a distinctive national voice for England; (iii) pressures from the EU and the international community for the UK to speak with one voice in international negotiations and treaty-making; (iv) party political differences and competition between the UK and devolved governments; and (v) the politics of Scottish independence, especially in light of the expectation that Brexit will be the justification used by the Scottish First Minister to take steps towards a new independence referendum.

The project benefits from a small comparative study of Australia and Canada, as two countries outside of the EU that have wrestled with how to share power between their federal and regional governments. These case studies will pay particular attention to how the territories work together to negotiate and implement trade deals, and to support trade and mobility within each of the countries. 

Brexit attracts a lot of media and public interest, but its effect on the territorial future of the UK is often neglected. This project aims to raise awareness of the challenges that Brexit has generated for the relationships between the governments and territories of the UK. A major focus will be to increase understanding of these issues among policy makers, supporting them in responding to the challenges, including with ideas for reform. The project will also raise awareness among the public by making use of digital communication including videos and other visual images, articles in newspapers, appearances on radio and TV news, and public events designed to helping citizens be more informed about and engaged in debates on the territorial and constitutional future of the UK.",Economy & Development; Governance & Policy; Culture & Heritage
ADEPT - Advanced Devices by ElectroPlaTing,F1270939-1A5A-43F5-B592-3DB4F9CCC3BB,EP/N035437/1,Closed,Research Grant,EPSRC,6331951,University of Southampton,2016-07-19,2022-07-18,David Smith,David Smith (Co-I),"Almost the whole of modern technology and life is underpinned by methods for depositing and shaping materials. For instance the transistors which power our mobile phones, tablets, etc. consist of areas of silicon whose dimensions are now of the order of only tens of atoms across. Whilst current materials deposition technologies are truly impressive, there is still a need for more innovative, better and reduced cost methods for depositing technologically important materials in order to increase energy efficiency, improve their functional properties and break through into potential new markets. This is particularly true when we consider materials beyond the narrow range of those used in electronics and telecoms. A clear example of this is in the field of thermoelectric materials which can already be used in devices such as refrigerators, but more importantly in generating electricity directly from waste heat. Fundamental science has shown that if we could produce such materials in the form of dense parallel arrays of ultrathin wires that are each only 10-100 atoms across, the efficiency of these devices would be massively enhanced. However, the technology to achieve the necessary high quality materials at this size scale does not currently exist. 

In the field of computer memory, materials whose electrical resistances can be altered by rapid heating and cooling, so called phase change materials, are being developed The key barriers to the wide spread application of these materials are their relatively high switching energy and reliability of many billions of switching cycles. These could be overcome if a materials deposition technique existed which allowed us to deposit smaller elements than can currently be achieved. 

Finally the materials that are used in heat, i.e. infrared, sensing cameras could have a much wider range of applications, e.g. in home security and short range communications between smart appliances, if the cost of depositing them wasn't so high.
 
This project will directly address these challenges, by building upon our recent breakthroughs in using electrodeposition, in which an electrical current causes the deposition of a material, from unusual, 'weakly-coordinating' solvents, to develop methods for depositing high quality materials for advanced applications in the fields of thermoelectric devices, phase change memory and infrared sensors and cameras.",Culture & Heritage; Conflict & Security; Data & Digital
ADR Scotland: 2026-2031 (UoE led),78F96F2A-A010-489D-AAC9-C3E3122117F2,UKRI3324,Active,Research Grant,ESRC,17127387,UNIVERSITY OF EDINBURGH,2026-03-30,2031-03-30,Morag Treanor; Nick Bailey; Patricio Troncoso; Serena Pattaro,Morag Treanor (Co-I); Nick Bailey (Co-I); Patricio Troncoso (Co-I); Serena Pattaro (Co-I),"The Covid-19 pandemic laid bare the shortcomings of the data landscape in the UK. Professor Cathie Sudlow, in her major review, argued that “we are simply not maximising the benefits to society from the already-existing&nbsp; [data] sources”. Faster cross-cutting evidence, using systematically linked health and administrative data, represents a critical opportunity for timely policy insights and evaluations. For
Scotland, better linked data can ensure value for public spending to maximise outcomes for the population.
Our vision is for a trusted and efficient data research infrastructure in Scotland, underpinned by a need to maximise the efficiencies, sustainability and impact of research for Scotland’s public services. This is at a time when value for money is more important than ever.
Together our Co-Directors, leaders from academia and government, have driven forward this vision with a renewed focus on influencing decisions and affecting real change through impactful research which
have now developed into five co-produced strategic research themes – developed within a ‘One Team’ approach. Our delivery partners are transforming the research approvals and data operations in Scotland to make the National Safe Haven (NSH) scalable and sustainable, establishing common best practice arrangements and moving to a single front door for data controllers and researchers. To deliver feasible efficiencies for systematically linking health and administrative data, enable better access to economic linked data, and smooth the researcher journey, our ADR delivery partners have co designed and are collectively advocating for the full implementation of One Approvals Pathway and One Process Model. These are a unique selling point that will push the target operating model in Scotland closer to the world-renowned Nordic population-based registers. By the end of the present ADR investment
period, Scotland will have set the foundations for a highly flexible, scalable, and sustainable data linkage system. Going forward, our data linkage experts will develop cutting-edge approaches to household and inter-generational linkages, and make greater use of causal AI analysis, and economic data. Collectively, this will ensure we deliver high impact, policy-driven research.",Data & Digital; Governance & Policy; Health & Wellbeing
AI for Collective Intelligence (AI4CI),FBBEA8C2-2AAB-474F-836A-E244EF8D958A,EP/Y028392/1,Active,Research Grant,EPSRC,10274279,University of Bristol,2024-02-01,2029-01-31,Alison Heppenstall,Alison Heppenstall (Co-I),"AI and Machine Learning often address challenges that are relatively monolithic in nature: determine the safest route for an autonomous car; translate a document from English to French; analyse a medical image to detect a cancer; answer questions about a difficult topic. These kinds of challenge are very important and worthwhile targets for AI research. 

However, an alternative set of challenges exist that are more *collective* in nature and that unfold in *real time*: 

- help minimise the impact of a pandemic sweeping through a population of people by informing the coordination of local and national testing, social distancing and vaccination interventions; 

- predict and then monitor the extent and severity of an extreme weather event using multiple real-time physical and social data streams;
 
- anticipate and prevent a stock market crash caused by the interactions between many automated trading agents each following its own trading algorithm; 

- derive city-wide patterns of changing mobility from high-frequency time series data and use these patterns to drive city planning decisions that maximise liveability and sustainability in the future city;

- assist populations of people with type 2 diabetes to avoid acute episodes and hospitalisation by identifying patterns in their pooled disease trajectories while preserving their privacy and anonymity. 

Developing AI systems for these types of problem presents unique challenges: extracting reliable and informative patterns from multiple overlapping and interacting data streams; identifying and controlling for inherent biases within the data; determining the local interventions that can allow smart agents to influence collective systems in a positive way; developing privacy preserving machine learning and advancing ethical best practices for collective AI; embedding novel machine learning and AI in portals, devices and tools that can be used transparently and successfully by different types of user.

The AI for Collective Intelligence (AI4CI) Hub will address these challenges for AI in the context of critically important real world use cases (cities, pandemics, health care, environment and finance) working with key stakeholder partners from each sector.

In addition to significantly advancing applied AI research for collective intelligence, the AI4CI Hub will also work to build *community* in this research area, linking together academic research groups across the UK with each other and with key industry, government and public sector organisations, and to build *capability* by developing and releasing open access training materials, tools, demonstrator systems and best practice guidance, and by supporting the career development of early and mid-career researchers both within academia and beyond.

The AI for Collective Intelligence Hub will be a centre of gravity for a nation-wide research effort applying new AI to collective systems.",Data & Digital; Housing & Urban; Health & Wellbeing
AI-Optimised Fermentation for Sustainable Protein Production from Food Side Streams,A586EEBA-D241-49F6-A383-0775A751B74B,BB/Y513933/1,Closed,Research and Innovation,ISPF,258029,University of Leeds,2024-02-14,2025-08-12,Nicholas Watson,Nicholas Watson (PI),"This international collaboration will develop AI methods for optimising fermentation processes that use food side streams as substrates to produce sustainable proteins for human consumption. It will be led by the University of Leeds (UoL) and the Commonwealth Scientific and Industrial Research Organisation (CSIRO) and includes four industrial partners from the agri-food sector.

Current alternative protein production often uses high-sugar substrates. This project aims to utilise food side streams as the fermentation substrate to increase sustainability and economic viability of protein production. Given the variability between different food side streams, AI will be used to aid optimisation of fermentation parameters like solids and moisture content, pre-treatment methods, pH levels, yeast strains, and nutrient supplementation.

Approximately one-third of food produced gets wasted. The project addresses this waste, contributes to creating a circular economy, while simultaneously producing protein to enhance food security for a growing world population. The project is aligned with two of the competition's themes on AI in sustainable agriculture and food and AI to advance manufacturing and clean growth.

Each institution has complementary capabilities where the University of Leeds team offers experience in experimental data collection and preliminary model development and CSIRO brings expertise in scaling up these processes to ensure they have a broader, real-world impact. The partnership also addresses regional variations in food side streams enabling the development of adaptable models with greater generalisability. The projects activities are organised into five Work Packages (WPs):

WP1 (UoL): Experimental data collection: Collection of data from fermentation processes using food side streams (short shelf-life soft fruit and Jerusalem artichokes) as substrates to produce protein.
WP2 (UoL &amp; CSIRO): Single side stream models: Leveraging the data from WP1, development of AI models to predict fermentation products (e.g., microbial dynamics, yield, and protein concentration) based on the side stream composition and fermentation parameters.
WP3 (UoL): Adaptive modelling techniques: Using the data from WP1, development of transfer learning and Bayesian optimisation methodologies to significantly reduce the data collection burden for new side streams or equipment.
WP4 (CSIRO): Scale up and out: The methodologies from WP3 will guide data collection from scaled-up fermentation trials at CSIRO using new food side streams aiming to maximise sustainability and economics.
WP5 (UoL &amp; CSIRO): Partnership and impact: Focusing on disseminating findings to the broader scientific community, sharing data, code, models, methodologies, and academic papers; and conducting partnership activities including visits, workshops, and training sessions.
The outcome of the partnership between UoL and CSIRO will be enhanced AI capabilities at each organisation, the career development of project team members and adaptable AI models that can be used by beneficiaries world-wide to efficiently optimise fermentation processes and assess the potential of new food side streams.",Data & Digital; Economy & Development; Conflict & Security
Administrative Data Research Centres 2018,27D929FF-4B86-41C6-8E5A-8C0D83D21204,ES/S007407/1,Closed,Research Grant,ESRC,4185010,University of Edinburgh,2018-11-01,2022-03-30,Nick Bailey; Sharon Wright,Nick Bailey (Co-I); Sharon Wright (Co-I),"Administrative data (that is, information collected primarily for administrative purposes) has long contributed to central government and other statistics. However in the last 15-20 years, technological advancement has seen something of a revolution with the formation of very large administrative databases held by central and local government, and by specialist agencies across the UK. The existence of such databases raises the possibility that administrative data could become, in an annoymised form, a core resource for social science academic research. Many northern European countries (notably Denmark, Finland, Norway and Sweden) are further ahead in this regard, as they have placed much greater emphasis on developing national 'register data' from the 1980s onwards, to replace national censuses and major surveys. 

In response to this possibility and supported by the ESRC the Administrative Data Research Centre - Scotland (ADRC-S), with the NHS Scotland and the Scottish government, has developed a service for carrying out anonymised administrative based data research in Scotland. This has allowed important insights to be gained on a very diverse set of issues including: the impact of homelessness on the health, the type of care given to children been look after by the state, the impact of poverty on child development, what care is being given at the end of life in Scotland and how moving helps or hinders Social mobility.

The existing service has principally been based on gaining permission and assembling, project by project process, datasets to be used by a single research group. Whilst a sensible approach during the initiation of the collaboration, it is now apparent that in order to work more efficiently, safely, fairly and to save taxpayers money, research ready data holdings are needed, based on unified process of governance and permissions.

This proposal for a next phase funding aims to achieve this. Working in partnership with the Scottish National Statistical Agency, the ADRC-S will, in particular, provide evidence of value within this new approach. It will do this through a series of strategically important pieces of work. These will particularly focus on key issues within Scotland's National Performance Framework which gives 'an overall vision of the country we want to be'.

The focus will be on these board themes:
 - 'Poverty and Fair Work' - which will explore patterns of employment, including insecurity and progression; on the material benefits of employment, and the extent to which it reduces poverty 
 risks; and on the relationship between employment and health. 
 - 'Inclusive, empowered, resilient and safe communities' - will address a set of questions around shifting patterns of crime, justice and emergency service demand that are underpinned by 
 vulnerability and mental health within the population. 

 - 'Realising our potential' - aims to better understand the progress of young people looked after by the state. What is the impact of different care profiles (e.g. look after at home or in care) and 
 frequency of changes of states on children's outcomes, and particularly their educational outcomes
 - 'Healthy and active' will explore the interactions between health and social care and the implications of informal care for service delivery for older people. In regards younger it will investigate 
 emerging priorities around: mental health and well-being, poverty and inequality and physical activity and in particular how these develop across the lifecourse.

The adrc-s team will work closely with its NHS partner to provide other teams access to the emerging research datasets.",Health & Wellbeing; Data & Digital; Inequality & Social Justice
"Age-based imitation bias throughout development, during daily interactions, and across cultures",5F2FAD14-E6F8-4690-93A3-40DE3736F45E,ES/Y002067/1,Active,Research Grant,ESRC,843583,Durham University,2023-12-01,2027-11-30,Emma Flynn,Emma Flynn (Co-I),"Imitation is central to how children acquire the instrumental technologies and cultural conventions which enable us to thrive in diverse environments. We have evolved cognitive heuristics, or rules-of-thumb, which bias us towards imitating individuals who are the most likely to possess beneficial information. One such heuristic is the age-based imitation bias, which predisposes children towards preferentially imitating adults over peers, theoretically because older age acts as a heuristic for expertise. We have previously found strong experimental support for age-based imitation bias. Yet, we have also shown that children across cultures can and do learn from each other. To integrate across these findings, our project will investigate whether social and cognitive development, social setting, and cultural values mediate the expression of age-based imitation bias for the first time. Our expertise in developmental psychology, cognitive science, anthropology, and cultural evolutionary theory makes our team uniquely placed to address three field-changing objectives. 

First, nearly all imitation studies are conducted with young children. Yet, what children learn during adolescence sets the stage for future success. To fill this gap, we will compare the propensities of children aged 3 to 17 years to imitate peers versus adults using instrumental and conventional experimental tasks previously validated by our team. We predict that young children will imitate adults over peers in both domains, reflecting the broad application of the age-based bias, whereas adolescents will imitate adults over peers in instrumental tasks, and peers over adults in conventional tasks, reflecting their flexible use of the age-based bias.

Second, age-based imitation bias has only been investigated using experimental paradigms. We do not know if and how age-based imitation bias operates in everyday interactions, representing a threat to the ecological validity of this cognitive heuristic. Extending beyond a learner-centric view of imitation, we will conduct naturalistic observations to understand how peer and adult availability and pedagogical interactions enable and constrain age-based bias. We predict that children will preferentially imitate adults in social settings in which they are available, and that adults (rather than children) will use more sophisticated pedagogical cues, thus engendering more frequent imitation.

Finally, we do not know if cultural contexts shape the expression of age-based imitation bias. We will thus collect data among Congolese BaYaka foragers, Congolese Bandongo fisher-farmers, Chinese Americans, and Scots. These communities vary in their cultural emphasis on autonomy/conformity, and the normativity of peer/adult socialization, which may affect children's preference for learning from adults over peers. We will ascertain locally shared beliefs in these two areas using cultural consensus interviews. We will test the prediction that high autonomy and normative peer socialization co-occur with high peer imitation in the experimental and observational studies. 

By meeting these objectives, our project stands to shed new light on the ontogeny and flexibility of human learning cognition. We anticipate that our findings will be of interest to cultural evolutionary modelers, leading to the development of new theories for understanding how cognitive heuristics contribute to cultural maintenance and change. We also anticipate that cognitive development researchers will attend to our results because they will elucidate whether cognitive heuristics respond to social and cultural contexts. Our project will benefit teaching and health interventions by highlighting the settings and domains in which peer imitation is likely to be the most effective. We will showcase the social benefits of our research during a knowledge exchange workshop with an international group of educators and youth workers.",Culture & Heritage; Economy & Development; Health & Wellbeing
Analysing the transnational provisioning of services in the social sector: the case of commercialisation of NHS services in China and India,B8080385-895B-455D-BE1B-9054D155BC00,ES/S010920/1,Closed,Research Grant,ESRC,722324,King's College London,2019-09-01,2023-05-31,Benjamin Hunter,Benjamin Hunter (Co-I),"This study addresses the contemporary attempts by public and private organisations to position the UK within a globalised commercial healthcare economy. It asks how and why this ambition is being realised in England and in two major 'emerging economies' perceived as potential areas of market growth (India and China), and considers the implications for public or state-owned healthcare, health training organisations and healthcare users in the three settings. The study objectives are to:
1) describe and analyse the key drivers, actors, markets and supporting social and political infrastructures of commercialised transnational provisioning of healthcare; 
2) investigate these and their everyday workings and moral economies through three detailed qualitative case studies of UK-India and UK-China healthcare provisioning in the areas of a) labour sourcing and processes, b) training and management consultancy and c) joint infrastructure ventures, and 
3) consider the implications for healthcare planning and governance in the three countries, and communicate these to scholarly, practitioner, advocacy and policy audiences.

The context for this research is a period of globalisation in which there have been significant changes in how service sectors are organised, and how public services are managed and provided. In the healthcare sector, there has been an increasing expansion of markets and of opportunities for investment in a global healthcare industry; greater cross-border consumption of healthcare, and increased consumer rights consciousness among patients. In England there have been cumulative market-based reforms to the structure of the National Health Service (NHS), while China and India have seen trade policy reforms, growth of specialist private hospital care and related diagnostic services, and expansion of fee-based provision.

The run up to the UK's 'Brexit' departure from the European Union is posing new demands for recruitment of international staff, and public healthcare organisations are facing pressure to 'become more entrepreneurial' to cope with budgetary pressures. Labour markets in middle-income countries are proving a vital source of health workers - provisioned either by third-party commercial agencies or by private hospital chains - while the rising burden of non-communicable diseases amongst ageing and middle-class populations in China and India is driving new demand for healthcare services that offer potential new markets and sources of revenue for UK-based healthcare organisations, notably hospitals, insurance companies, professional bodies and university health schools. In what seems to be a significant step change for the 'NHS identity', marketing has begun with sights set on offshore provisioning to new audiences, primarily in these emerging economies. 

This project seeks to understand these new developments, which reflect wider global trends in commercialisation, labour markets and trade in social sector services. The case studies will include the transnational outsourcing of back-office administrative activities, training and management consultancies, and joint ventures for hospital development. It will explore projects between organisations in England and in Guangdong, Fujian and Jiangsu (China) and in Delhi, Andhra Pradesh and Maharashtra (India) examining all elements of the 'provisioning chain' from governance and financing, through to production, delivery of / access to healthcare facilities and services, and consumption.

Our study findings will be important for raising public awareness and understanding in the three settings of the increasingly globalised nature of the healthcare economy, the types of changes being promoted, and their possible effects. Our public and policy engagement activities will aim to inform policy development within healthcare organisations directly, and also indirectly through engagement with local community organisations.",Economy & Development; Health & Wellbeing; Governance & Policy
